Date,Year,Month,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,NewAmountUSD
2015-02-02,2015,2,Faaya,Group of Angel Investors,"Seed
Funding","16,600",At the 10 minute million event,,0.0
2015-02-02,2015,2,InstaBounce,Group of Angel Investors,"Seed
Funding","16,600",At the 10 minute million event,,0.0
2015-02-02,2015,2,Chloroplast Foods,Group of Angel Investors,"Seed
Funding","16,600",At the 10 minute million event,,0.0
2015-02-02,2015,2,Dealwithus,Group of Angel Investors,"Seed
Funding","16,600",At the 10 minute million event,,0.0
2015-02-02,2015,2,CleverSharks,Group of Angel Investors,"Seed
Funding","16,600",At the 10 minute million event,,0.0
2015-02-02,2015,2,Leaf,Group of Angel Investors,"Seed
Funding","16,600",At the 10 minute million event,,0.0
2015-02-02,2015,2,SmartPocket,"Sol Primero, Rajiv Mehta","Seed
Funding","250,000",For mobile app,,0.0
2015-02-02,2015,2,Yumist,Orios Venture Partner,Private Equity,"1,000,000",Undisclosed Investors,,0.0
2015-02-02,2015,2,NowFloats,Omidyar Network,Private Equity,N/A,Series A,,0.0
2015-02-02,2015,2,FirstCry,Valiant Capital Partners,Private Equity,"26,000,000",Series D,,0.0
2015-02-02,2015,2,HolaChef,India Quotient,"Seed
Funding","325,000",Undisclosed Investors,,0.0
2015-03-02,2015,3,Frsh.co.in,"India Quotient, Kae Capital","Seed
Funding","518,000",Undisclosed Investors,,0.0
2015-03-02,2015,3,Manthan,"Temasek, Norwest Venture Partners",Private Equity,"60,000,000",Series D,,0.0
2015-05-02,2015,5,Kobster.com,Splice Advisors,"Seed
Funding",N/A,Undisclosed Investors,,0.0
2015-05-02,2015,5,Culture Machine,"Tiger Global, Times Internet, Zodius Capital",Private Equity,"18,000,000",Series B,,0.0
2015-05-02,2015,5,Paytm,Ant Financial Services (Alipay),Private Equity,N/A,Strategic Investment (25% stake),,0.0
2015-05-02,2015,5,Aisle.co,"Anand Vijay, Shashank Mehrotra & Others","Seed
Funding","100,000",Undisclosed Investors,,0.0
2015-06-02,2015,6,FreeCharge,"Valiant Capital, Tybourne Capital, Sequoia Capital, RuNet and Sofina",Private Equity,"80,000,000",Series C,,0.0
2015-06-02,2015,6,NewsHunt,"Falcon Edge Capital, Matrix Partners India, Sequoia Capital India and Omidyar Network",Private Equity,"40,000,000",Series C,,0.0
2015-09-02,2015,9,MyNoticePeriod,IDG Ventures,Private Equity,"3,000,000",Series A,,0.0
2015-09-02,2015,9,CarDekho.com,Ratan Tata,Private Equity,N/A,Undisclosed Investors,,0.0
2015-09-02,2015,9,Faaso’s,Lightbox Ventures,Private Equity,"20,000,000",Series B,,0.0
2015-10-02,2015,10,CarTrade.com,Chip Perry,Private Equity,N/A,Undisclosed Investors,,0.0
2015-10-02,2015,10,StoreKing,Mangrove Capital Partners,Private Equity,N/A,Undisclosed Investors,,0.0
2015-11-02,2015,11,Capital Float,"SAIF Partners, Sequoia Capital, Aspada",Private Equity,"13,000,000",Series A,,0.0
2015-11-02,2015,11,Nimble Wireless,AngelPrime,"Seed
Funding","3,000,000",Undisclosed Investors,,0.0
2015-11-02,2015,11,Townscript,Group of Angel Investors,"Seed
Funding",N/A,Undisclosed Investors,,0.0
2015-11-02,2015,11,FindYahan,"Karan Bajwa, Parvesh Bareja , Sunjay Kapur, Amanpreet Bajaj","Seed
Funding",N/A,Undisclosed Investors,,0.0
2015-12-02,2015,12,Stayzilla,"Nexus Venture Partners, Matrix Partners",Private Equity,"20,000,000",Series B,,0.0
2015-12-02,2015,12,Practo,"Sequoia Capital, Matrix Partners",Private Equity,"30,000,000",Series B,,0.0
2015-02-13,2015,2,CimplyFive,"Suresh Senapaty, TV Mohandas Pai","Seed
Funding",N/A,Undisclosed Investors,,0.0
2015-02-13,2015,2,20Dresses,"Srinivas Aluri, Srinivas Modukury, BS Nagesh","Seed
Funding","1,000,000",Undisclosed Investors,,0.0
2015-02-13,2015,2,Itzcash,Ashok Goel (promoter),Private Equity,"16,500,000",Promoter Commitment,,0.0
2015-02-16,2015,2,NewsInShorts,"Tiger Global, Rebright Partners, Sachin and Binny Bansal",Private Equity,"4,150,000",Series A,,0.0
2015-02-16,2015,2,iTraveller.com,ah! Ventures,Private Equity,"1,000,000",Series A,,0.0
2015-02-17,2015,2,NextGen,Mumbai Angels & Group of other investors,"Seed
Funding",N/A,Undisclosed Investors,,0.0
2015-02-18,2015,2,Wooplr.com,Helion Venture Partners,Private Equity,"5,000,000",Series A,,0.0
2015-05-19,2015,5,Springleap,Cross Border Angels,"Seed
Funding","800,000",Undisclosed Investors,,0.0
2015-02-20,2015,2,Klip.in,"Calcutta Angels, Venture Nursery Angels Mumbai Angels","Seed
Funding","500,000",Undisclosed Investors,,0.0
2015-02-20,2015,2,Renderlogy,Brick Eagle,Private Equity,"1,600,000",Series A,,0.0
2015-02-21,2015,2,Appbase,"DA-IICT, Techstars, Carnegie Mellon University, Startup Brasil program","Seed
Funding","290,000",Grant + Seed funding,,0.0
2015-02-23,2015,2,HomeLane,"Sequoia Capital, Ranjan Pai, Mohandas Pai & others",Private Equity,"4,500,000",Series A,,0.0
2015-02-23,2015,2,Trip38,"InterGlobe Technology Quotient, Lantern Capital",Private Equity,"1,000,000",Series A,,0.0
2015-02-23,2015,2,Smartairtrip.com,Undisclosed,Private Equity,"10,000,000",Series A,,0.0
2015-02-23,2015,2,NoBroker,"SAIF Partners, Fulcrum Ventures",Private Equity,"3,000,000",Series A,,0.0
2015-02-24,2015,2,Caravan Craft Retail,"Unitus Seed Fund
Narayan Ramachandran, Bijou Kurien","Seed
Funding","500,000",Undisclosed Investors,,0.0
2015-02-25,2015,2,SquadRun,"Amit Ranjan, Deepinder Goyal, Zishaan Hayath, Powai Lake Ventures","Seed
Funding",N/A,Undisclosed Investors,,0.0
2015-02-25,2015,2,Clonect Solutions,"V Balakrishnan, T V Mohandas Pai, BC Prabhakar","Seed
Funding","250,000",Undisclosed Investors,,0.0
2015-02-25,2015,2,TaxSutra,"V Balakrishnan, T V Mohandas Pai","Seed
Funding","160,000",Undisclosed Investors,,0.0
2015-02-25,2015,2,PepperTap,Sequoia Capital,"Seed
Funding",N/A,Undisclosed Investors,,0.0
2015-02-25,2015,2,Sattviko,"Sumit Jain, Rajat Jain, Sanjay Bhasin","Seed
Funding","320,000",Undisclosed Investors,,0.0
2015-02-25,2015,2,IndustryBuying,SAIF Partners,Private Equity,"2,000,000",Series A,,0.0
2015-02-26,2015,2,FreshWorld,"Kris Gopalakrishnan, Nagaraja Prakasam","Seed
Funding",N/A,Undisclosed Investors,,0.0
2015-02-26,2015,2,TinyOwl,"Matrix Partners, Sequoia Capital, Nexus Venture Partners",Private Equity,"16,000,000",Series B,,0.0
2015-02-27,2015,2,Momoe,"IDG Ventures India, Jungle Ventures, India Quotient.","Seed
Funding","1,200,000",Undisclosed Investors,,0.0
2015-02-27,2015,2,Grofers,"Tiger Global Management, Sequoia Capital India",Private Equity,"10,000,000",Series A,,0.0
2016-01-08,2016,1,HealthKart,eCommerce,Online Pharmacy & Health Marketplace,Gurugram,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,12000000.0
2016-01-08,2016,1,Medinfi,Consumer Internet,Doctor & Clinic  Discovery Platform,Bengaluru,"Mudit Saxena, Evan Lim",Seed Funding,200000.0
2016-01-08,2016,1,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,275000.0
2016-01-08,2016,1,Voonik,eCommerce,Online Women’s Fashion Marketplace,Bengaluru,InnoVen Capital,Private Equity,3000000.0
2016-01-08,2016,1,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,2500000.0
2016-02-08,2016,2,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,1800000.0
